qseqid	tool	Protein names	Gene Ontology (GO)	EC number	Pfam
tr|X5DZ82|X5DZ82_9BACT	UPIMAPI	Starch-binding associating with outer membrane	cell outer membrane [GO:0009279]		PF14322;PF07980;
tr|X5DDM1|X5DDM1_9BACT	UPIMAPI	Iron complex outermembrane recepter protein	cell outer membrane [GO:0009279]; iron ion transport [GO:0006826]		PF13715;PF07715;PF07660;PF00593;
tr|X5DCQ1|X5DCQ1_9BACT	UPIMAPI	TonB-linked outer membrane protein, SusC/RagA family	cell outer membrane [GO:0009279]		PF13715;PF07715;PF00593;
tr|X5DBG4|X5DBG4_9BACT	UPIMAPI	TonB-linked outer membrane protein, SusC/RagA family	cell outer membrane [GO:0009279]; iron ion transport [GO:0006826]		PF13715;PF07715;
tr|X5D8M4|X5D8M4_9BACT	UPIMAPI	Starch-binding associating with outer membrane	cell outer membrane [GO:0009279]		PF14322;PF07980;
tr|X5D7Q4|X5D7Q4_9BACT	UPIMAPI	Starch-binding associating with outer membrane	cell outer membrane [GO:0009279]		PF14322;PF07980;
tr|X4ZSR1|X4ZSR1_9BACL	UPIMAPI	ABC transporter substrate-binding protein			
tr|X1VA59|X1VA59_9ZZZZ	UPIMAPI	Purple acid phosphatase N-terminal domain-containing protein			
tr|X1V8T8|X1V8T8_9ZZZZ	UPIMAPI	Peptidase M10 metallopeptidase domain-containing protein	extracellular matrix [GO:0031012]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; collagen catabolic process [GO:0030574]; extracellular matrix organization [GO:0030198]; proteolysis [GO:0006508]		PF00413;
tr|X1V848|X1V848_9ZZZZ	UPIMAPI	FAD/NAD(P)-binding domain-containing protein	4 iron, 4 sulfur cluster binding [GO:0051539]; oxidoreductase activity [GO:0016491]		PF07992;
tr|X1UXZ2|X1UXZ2_9ZZZZ	UPIMAPI	Right handed beta helix domain-containing protein			PF13229;
tr|X1TXS3|X1TXS3_9ZZZZ	UPIMAPI	DUF35 domain-containing protein			PF12172;PF01796;
tr|X1TXK2|X1TXK2_9ZZZZ	UPIMAPI	Condensation domain-containing protein			
tr|X1TPB7|X1TPB7_9ZZZZ	UPIMAPI	DUF1349 domain-containing protein			
tr|X1TGL9|X1TGL9_9ZZZZ	UPIMAPI	Glycosyl hydrolase family 98 putative carbohydrate-binding module domain-containing protein			
tr|X1TF24|X1TF24_9ZZZZ	UPIMAPI	EF-hand domain-containing protein	calcium ion binding [GO:0005509]; cysteine-type peptidase activity [GO:0008234]; proteolysis [GO:0006508]		PF01650;PF18884;
tr|X1RB81|X1RB81_9ZZZZ	UPIMAPI	TonB-dependent receptor-like beta-barrel domain-containing protein			
tr|X1QQX8|X1QQX8_9ZZZZ	UPIMAPI	Solute-binding protein family 3/N-terminal domain-containing protein	extracellular region [GO:0005576]; outer membrane-bounded periplasmic space [GO:0030288]; amino acid transport [GO:0006865]		PF00497;
tr|X1NGQ5|X1NGQ5_9ZZZZ	UPIMAPI	LamG-like jellyroll fold domain-containing protein			PF13385;
tr|X1N5F4|X1N5F4_9ZZZZ	UPIMAPI	Crotonase	catalytic activity [GO:0003824]; fatty acid beta-oxidation [GO:0006635]		PF00378;
tr|X1N3Y2|X1N3Y2_9ZZZZ	UPIMAPI	2Fe-2S ferredoxin-type domain-containing protein	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		PF00111;PF01799;
tr|X1N1L6|X1N1L6_9ZZZZ	UPIMAPI	DUF35 domain-containing protein			PF12172;PF01796;
tr|X1MSU6|X1MSU6_9ZZZZ	UPIMAPI	YqaJ viral recombinase domain-containing protein	iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]		PF06050;
tr|X1MP29|X1MP29_9ZZZZ	UPIMAPI	MaoC-like domain-containing protein	membrane [GO:0016020]; (3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity [GO:0019171]; fatty acid biosynthetic process [GO:0006633]		PF01575;
tr|X1MNW3|X1MNW3_9ZZZZ	UPIMAPI	LamG-like jellyroll fold domain-containing protein			PF13385;
tr|X1ME48|X1ME48_9ZZZZ	UPIMAPI	PA14 domain-containing protein			PF07691;
tr|X1LM53|X1LM53_9ZZZZ	UPIMAPI	Peptidase S8/S53 domain-containing protein	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		PF03415;PF00082;
tr|X1LHN1|X1LHN1_9ZZZZ	UPIMAPI	B12-binding domain-containing protein	cobalamin binding [GO:0031419]; isomerase activity [GO:0016853]; metal ion binding [GO:0046872]		PF02310;
tr|X1LDG2|X1LDG2_9ZZZZ	UPIMAPI	Ig-like domain-containing protein			PF13585;PF13573;
tr|X1L5K9|X1L5K9_9ZZZZ	UPIMAPI	FAD-binding PCMH-type domain-containing protein	FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]		PF03450;PF00941;
tr|X1KT70|X1KT70_9ZZZZ	UPIMAPI	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	mitochondrion [GO:0005739]; hydro-lyase activity [GO:0016836]; fatty acid metabolic process [GO:0006631]		PF00378;
tr|X1KKM0|X1KKM0_9ZZZZ	UPIMAPI	ATP:glycerol 3-phosphotransferase	cytosol [GO:0005829]; glycerol kinase activity [GO:0004370]; intramolecular phosphotransferase activity [GO:0016868]; magnesium ion binding [GO:0000287]; glycerol catabolic process [GO:0019563]		PF02782;PF00370;PF02878;
tr|X1KHK2|X1KHK2_9ZZZZ	UPIMAPI	Thiolase N-terminal domain-containing protein	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]		PF00108;
tr|X1KFP0|X1KFP0_9ZZZZ	UPIMAPI	CBM11 domain-containing protein			
tr|X1J6B9|X1J6B9_9ZZZZ	UPIMAPI	Glutamate/phenylalanine/leucine/valine/L-tryptophan dehydrogenase C-terminal domain-containing protein	glutamate dehydrogenase (NAD+) activity [GO:0004352]; glutamate catabolic process [GO:0006538]		PF00208;
tr|X1I827|X1I827_9ZZZZ	UPIMAPI	TIGR04076 family protein			
tr|X1HQ47|X1HQ47_9ZZZZ	UPIMAPI	Uncharacterized protein			PF05593;
tr|X1HJF2|X1HJF2_9ZZZZ	UPIMAPI	SPFH domain-containing protein			PF13421;
tr|X1H6E6|X1H6E6_9ZZZZ	UPIMAPI	F5/8 type C domain-containing protein			
tr|X1GVL1|X1GVL1_9ZZZZ	UPIMAPI	PA14 domain-containing protein			PF07691;
tr|X1FW71|X1FW71_9ZZZZ	UPIMAPI	Translation elongation factor EFTu/EF1A C-terminal domain-containing protein	cytosol [GO:0005829]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]		PF03143;
tr|X1FG20|X1FG20_9ZZZZ	UPIMAPI	Tripartite tricarboxylate transporter substrate binding protein			PF03401;
tr|X1FB49|X1FB49_9ZZZZ	UPIMAPI	4Fe-4S ferredoxin-type domain-containing protein	oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; thiamine pyrophosphate binding [GO:0030976]; response to oxidative stress [GO:0006979]		PF10371;PF13237;PF02775;
tr|X1EXY1|X1EXY1_9ZZZZ	UPIMAPI	Enoyl-CoA hydratase			PF00378;
tr|X1EVA4|X1EVA4_9ZZZZ	UPIMAPI	TonB-dependent receptor-like beta-barrel domain-containing protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF00593;
tr|X1E1K7|X1E1K7_9ZZZZ	UPIMAPI	Peptidase S1 domain-containing protein	membrane [GO:0016020]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		PF00089;
tr|X1DY61|X1DY61_9ZZZZ	UPIMAPI	ABC transporter substrate-binding protein PnrA-like domain-containing protein	plasma membrane [GO:0005886]		PF02608;
tr|X1C6G6|X1C6G6_9ZZZZ	UPIMAPI	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	mitochondrion [GO:0005739]; hydro-lyase activity [GO:0016836]; fatty acid metabolic process [GO:0006631]		PF00378;
tr|X1C114|X1C114_9ZZZZ	UPIMAPI	Uncharacterized protein			PF00400;
tr|X1AGG7|X1AGG7_9ZZZZ	UPIMAPI	Secretion system C-terminal sorting domain-containing protein			
tr|X0ZSC7|X0ZSC7_9ZZZZ	UPIMAPI	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	cytoplasm [GO:0005737]; 3-methyl-2-oxobutanoate hydroxymethyltransferase activity [GO:0003864]; magnesium ion binding [GO:0000287]; pantothenate biosynthetic process [GO:0015940]	2.1.2.11	PF02548;
tr|X0ZLF6|X0ZLF6_9ZZZZ	UPIMAPI	Uncharacterized protein			PF13360;PF13570;
tr|X0YSG8|X0YSG8_9ZZZZ	UPIMAPI	Fibronectin type-III domain-containing protein	membrane [GO:0016020]		PF13517;
tr|X0W649|X0W649_9ZZZZ	UPIMAPI	Beta-xylosidase C-terminal Concanavalin A-like domain-containing protein			
tr|X0W5R9|X0W5R9_9ZZZZ	UPIMAPI	Periplasmic binding protein domain-containing protein	outer membrane-bounded periplasmic space [GO:0030288]; carbohydrate binding [GO:0030246]		PF13407;
tr|X0W391|X0W391_9ZZZZ	UPIMAPI	Thioredoxin domain-containing protein	cytoplasm [GO:0005737]; protein-disulfide reductase activity [GO:0015035]		PF08480;PF00085;
tr|X0VC43|X0VC43_9ZZZZ	UPIMAPI	PEGA domain-containing protein	carbohydrate binding [GO:0030246]		PF13620;
tr|X0UKX3|X0UKX3_9ZZZZ	UPIMAPI	PA14 domain-containing protein			
tr|X0TRV5|X0TRV5_9ZZZZ	UPIMAPI	AAA+ ATPase domain-containing protein	ATP binding [GO:0005524]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; ATP metabolic process [GO:0046034]		PF00006;PF02874;PF16886;PF22919;
tr|X0T7S4|X0T7S4_9ZZZZ	UPIMAPI	Aspartate/glutamate/uridylate kinase domain-containing protein	cytosol [GO:0005829]; aspartate kinase activity [GO:0004072]; homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]		PF00696;
